"Station_ID","Sample_Date","Sample_Year","Sample_Month","Sample_Time","Sample_Depth_m","Genus","Division","Tally","Density_cells.L","Total_BV_um3.L","NOTES"
"B-D",2021-04-20,"2021","April","13:45","0-5","Botryococcus braunii","Chlorophyta",45,192506.170212766,11289141.9065362,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Chlamydomonas sp.","Chlorophyta",79,337955.276595745,418670371.094901,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Chlorella sp.","Chlorophyta",33,141171.191489362,9239625.07231383,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Pediastrum duplex","Chlorophyta",32,232441.61849711,69418084.8706777,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Scenedesmus communis","Chlorophyta",20,85558.2978723404,12319500.0964184,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Tetraedron minimum","Chlorophyta",1,4277.91489361702,427791.489361702,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Dinobryon sp.","Chrysophyta",96,410679.829787234,1706488193.71945,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Cryptomonas erosa","Cryptophyta",23,98392.0425531915,252437756.521156,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Plagioselmis nannoplanctica","Cryptophyta",87,372178.595744681,31569278.9743494,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Rhodomonas lacustris","Cryptophyta",5,21389.5744680851,1164752.73638865,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Anabaena sp.","Cyanobacteria",53,384981.430635838,43540337.2561647,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Aphanizomenon sp.","Cyanobacteria",269,1150759.10638298,180760665.051085,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Planktolyngbya limnetica","Cyanobacteria",59,252396.978723404,3964639.1219383,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Ceratium cornutum","Pyrrophyta",1,7263.80057803468,372243640.674462,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Glenodinium sp.","Pyrrophyta",1,400.003978911768,18135951.1535792,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Achnanthidium minutissimum","Bacillariophyta",15,229174.012158055,14039430.3046846,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Fragilaria crotonensis","Bacillariophyta",2,14527.6011560694,10816624.6642673,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Nitzschia sp.","Bacillariophyta",1,7263.80057803468,3268710.26011561,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Stephanodiscus hantzschii","Bacillariophyta",1,15278.2674772036,33790628.8358906,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Stephanodiscus medius","Bacillariophyta",2,30556.5349544073,302747715.03179,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Stephanodiscus parvus","Bacillariophyta",3,45834.8024316109,7055713.6915851,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Chlamydomonas sp.","Chlorophyta",43,656965.501519757,643941869.974869,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Chlorella sp.","Chlorophyta",25,381956.686930091,24998985.5852647,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Pediastrum duplex","Chlorophyta",16,6400.06366258828,1216435.74810592,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Scenedesmus communis","Chlorophyta",48,733356.838905775,95996104.6474164,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Sphaerocystis schroeteri","Chlorophyta",24,366678.419452887,41470317.2076839,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Tetraedron minimum","Chlorophyta",1,15278.2674772036,733356.838905775,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Dinobryon sp.","Chrysophyta",4,61113.0699088146,277428742.431033,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Cryptomonas erosa","Cryptophyta",10,152782.674772036,376304730.217872,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Plagioselmis nannoplanctica","Cryptophyta",165,2520914.1337386,213831323.10212,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Rhodomonas lacustris","Cryptophyta",3,45834.8024316109,44614189.6348868,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Anabaena sp.","Cyanobacteria",100,1527826.74772036,172792988.36535,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Aphanizomenon sp.","Cyanobacteria",73,1115313.52583587,175192890.981535,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Chroococcus sp.","Cyanobacteria",4,61113.0699088146,255989.61239311,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Ceratium cornutum","Pyrrophyta",1,15278.2674772036,591064015.664917,NA
"B-BC",2021-04-20,"2021","April","12:00","0-5","Glenodinium sp.","Pyrrophyta",1,15278.2674772036,446861867.133723,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Achnanthidium minutissimum","Bacillariophyta",2,14259.7163120567,940761.825544681,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Fragilaria crotonensis","Bacillariophyta",2,14527.6011560694,10953543.963815,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Stephanodiscus parvus","Bacillariophyta",13,92688.1560283688,14268221.020761,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Synedra tenera","Bacillariophyta",7,49909.0070921986,6820523.23519894,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Chlamydomonas sp.","Chlorophyta",187,1333283.47517731,1651716442.92714,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Chlorella sp.","Chlorophyta",15,106947.872340426,6999715.96387411,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Pandorina sp.","Chlorophyta",16,114077.730496454,43543833.0680681,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Scenedesmus communis","Chlorophyta",12,85558.2978723404,12319500.0964184,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Sphaerocystis schroeteri","Chlorophyta",22,156856.879432624,28170590.2204768,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Staurastrum sp.","Chlorophyta",1,7129.85815602837,107627632.660528,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Tetraedron minimum","Chlorophyta",1,7129.85815602837,712985.815602837,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Dinobryon sp.","Chrysophyta",21,149727.021276596,582017982.736976,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Cryptomonas erosa","Cryptophyta",3,21389.5744680851,60477545.9278723,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Plagioselmis nannoplanctica","Cryptophyta",41,292324.184397163,24795793.8304277,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Anabaena sp.","Cyanobacteria",132,941141.276595745,106440480.833055,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Anabaenopsis circularis","Cyanobacteria",13,5200.05172585298,714718.834437233,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Aphanizomenon sp.","Cyanobacteria",124,884102.411347518,138874364.723262,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Ceratium cornutum","Pyrrophyta",1,7263.80057803468,568428078.699979,NA
"B-MBL",2021-04-20,"2021","April","14:45","0-5","Glenodinium sp.","Pyrrophyta",1,7129.85815602837,98518668.9528735,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Epithemia sp.","Bacillariophyta",1,400.003978911768,1824166.73102193,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Nitzschia inconspicua","Bacillariophyta",1,7263.80057803468,392245.231213873,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Stephanodiscus parvus","Bacillariophyta",5,267369.680851064,41158329.8675798,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Synedra tenera","Bacillariophyta",3,160421.808510638,24946987.6952473,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Chlamydomonas sp.","Chlorophyta",8,427791.489361702,529962495.056837,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Chlorella sp.","Chlorophyta",10,534739.361702128,34998579.8193706,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Scenedesmus communis","Chlorophyta",80,4277914.89361702,615975004.820922,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Sphaerocystis schroeteri","Chlorophyta",14,101693.208092486,18263513.234111,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Cryptomonas erosa","Cryptophyta",2,106947.872340426,274388865.783865,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Plagioselmis nannoplanctica","Cryptophyta",123,6577294.14893617,843745762.285386,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Rhodomonas lacustris","Cryptophyta",7,374317.553191489,441766073.912023,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Anabaenopsis circularis","Cyanobacteria",14,748635.106382979,117595228.193085,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Aphanizomenon sp.","Cyanobacteria",25,1336848.40425532,236240413.780751,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Cylindrospermopsis raciborskii","Cyanobacteria",668,35720589.3617021,1683291694.99245,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Planktolyngbya limnetica","Cyanobacteria",372,19892304.2553191,312467320.62734,NA
"C-BCF",2021-04-22,"2021","April","11:35","0-5","Raphidiopsis curvata","Cyanobacteria",64,3422331.91489362,10751563.7205106,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Diatoma vulgaris","Bacillariophyta",1,400.003978911768,2205418.11769203,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Fragilaria capucina","Bacillariophyta",1,400.003978911768,233736.621020352,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Melosira varians","Bacillariophyta",9,3600.03581020591,21986322.1579144,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Nitzschia acicularis","Bacillariophyta",2,34223.3191489362,6570877.27659575,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Nitzschia fruticosa","Bacillariophyta",4,1600.01591564707,211202.100865413,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Nitzschia sp.","Bacillariophyta",1,7263.80057803468,9878768.78612717,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Stephanodiscus parvus","Bacillariophyta",7,119781.617021277,18438931.7806757,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Synedra tenera","Bacillariophyta",3,51334.9787234043,7015395.32763319,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Synedra ulna","Bacillariophyta",1,400.003978911768,678590.190059087,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Chlamydomonas sp.","Chlorophyta",38,650243.063829787,637352697.351871,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Chlorella sp.","Chlorophyta",15,256674.893617021,16799318.3132979,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Scenedesmus communis","Chlorophyta",44,752913.021276596,108411600.848482,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Sphaerocystis schroeteri","Chlorophyta",5,36319.0028901734,9736483.52339114,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Cryptomonas erosa","Cryptophyta",1,17111.6595744681,40390041.043385,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Plagioselmis nannoplanctica","Cryptophyta",49,838471.319148936,71121594.0111779,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Rhodomonas lacustris","Cryptophyta",3,51334.9787234043,49967892.3910732,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Cylindrospermopsis raciborskii","Cyanobacteria",1676,28679141.4468085,1351471559.66819,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Planktolyngbya limnetica","Cyanobacteria",186,3182768.68085106,49994771.3003745,NA
"C-BD",2021-04-22,"2021","April","11:10","0-5","Raphidiopsis curvata","Cyanobacteria",109,1865170.89361702,5859602.2276783,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Cocconeis placentula","Bacillariophyta",1,400.003978911768,505801.021294042,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Fragilaria capucina","Bacillariophyta",10,611130.699088146,172792988.36535,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Nitzschia acicularis","Bacillariophyta",1,61113.0699088146,12467066.2613982,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Staurosirella pinnata","Bacillariophyta",2,14527.6011560694,3765280.73756142,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Stephanodiscus hantzschii","Bacillariophyta",1,61113.0699088146,122875013.948693,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Stephanodiscus parvus","Bacillariophyta",3,183339.209726444,28222854.7663404,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Synedra tenera","Bacillariophyta",8,488904.559270517,77180868.1365228,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Chlamydomonas sp.","Chlorophyta",10,611130.699088146,940761825.544681,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Scenedesmus communis","Chlorophyta",88,5377950.15197568,774368577.489159,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Tetraedron minimum","Chlorophyta",1,61113.0699088146,2933427.3556231,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Cryptomonas erosa","Cryptophyta",5,305565.349544073,721250732.917589,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Plagioselmis nannoplanctica","Cryptophyta",88,5377950.15197568,456173489.284523,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Rhodomonas lacustris","Cryptophyta",18,1100035.25835866,1070740551.23728,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Anabaena sp.","Cyanobacteria",53,384981.430635838,43540337.2561647,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Anabaenopsis circularis","Cyanobacteria",23,1405600.60790274,123642982.785872,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Aphanizomenon sp.","Cyanobacteria",73,4461254.10334346,700771563.92614,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Cylindrospermopsis raciborskii","Cyanobacteria",911,55674006.6869301,2448668637.3463,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Planktolyngbya limnetica","Cyanobacteria",587,35873372.0364742,563497134.280334,NA
"C-D",2021-04-22,"2021","April","12:00","0-5","Raphidiopsis curvata","Cyanobacteria",39,2383409.72644377,7487696.16249848,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Encyonema minutum","Bacillariophyta",1,400.003978911768,504586.783968053,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Staurosirella pinnata","Bacillariophyta",2,14527.6011560694,4792175.48416908,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Stephanodiscus hantzschii","Bacillariophyta",3,213895.744680851,90716318.8918085,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Stephanodiscus parvus","Bacillariophyta",5,356492.907801418,17639284.2289628,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Synedra tenera","Bacillariophyta",4,285194.326241135,45694145.8121702,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Synedra ulna","Bacillariophyta",2,800.007957823535,4724998.36041142,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Chlamydomonas sp.","Chlorophyta",7,499090.070921986,618289577.56631,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Chlorella sp.","Chlorophyta",14,998180.141843972,65330682.3294917,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Scenedesmus communis","Chlorophyta",56,3992720.56737589,627174550.363121,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Tetraedron minimum","Chlorophyta",4,285194.326241135,28519432.6241135,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Cryptomonas erosa","Cryptophyta",3,213895.744680851,604775459.278723,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Plagioselmis nannoplanctica","Cryptophyta",92,6559469.5035461,841459188.403853,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Rhodomonas lacustris","Cryptophyta",5,356492.907801418,346999252.715786,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Anabaenopsis circularis","Cyanobacteria",43,3065839.0070922,481580458.314539,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Aphanizomenon sp.","Cyanobacteria",31,2210256.02836879,222198983.55722,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Cylindrospermopsis raciborskii","Cyanobacteria",3322,236853887.943262,11161467087.3551,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Planktolyngbya limnetica","Cyanobacteria",356,25382295.035461,398703821.302269,NA
"C-M",2021-04-22,"2021","April","12:30","0-5","Raphidiopsis curvata","Cyanobacteria",88,6274275.17730496,19711200.1542695,NA
"GR-D",2021-04-22,"2021","April","09:15","0","Achnanthidium minutissimum","Bacillariophyta",2,8555.82978723404,483820.367422979,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Bacillaria paradoxa","Bacillariophyta",1,4277.91489361702,12320394.893617,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Cocconeis placentula","Bacillariophyta",5,21389.5744680851,27046902.4844096,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Diatoma vulgaris","Bacillariophyta",1,400.003978911768,4037611.63085157,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Rhoicosphenia curvata","Bacillariophyta",1,4277.91489361702,7305952.03445319,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Staurosirella pinnata","Bacillariophyta",17,72724.5531914894,20562365.6154766,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Synedra ulna","Bacillariophyta",1,7263.80057803468,11524041.0452637,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Chlamydomonas sp.","Chlorophyta",2,14527.6011560694,17997281.2627683,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Crucigenia sp.","Chlorophyta",4,17111.6595744681,1095146.21276596,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Scenedesmus communis","Chlorophyta",144,616019.744680851,31932144.2499166,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Tetraedron minimum","Chlorophyta",1,4277.91489361702,427791.489361702,"Cannot reach tally in 100 fields."
"GR-D",2021-04-22,"2021","April","09:15","0","Plagioselmis nannoplanctica","Cryptophyta",23,98392.0425531915,8345901.33804638,"Cannot reach tally in 100 fields."
"R-CRS",2021-04-21,"2021","April","11:05","0-5","Achnanthidium minutissimum","Bacillariophyta",10,42779.1489361702,2620693.65687447,"Cannot meet tally in 100 fields."
"R-CRS",2021-04-21,"2021","April","11:05","0-5","Asterionella formosa","Bacillariophyta",12,51334.9787234043,36876449.8815957,"Cannot meet tally in 100 fields."
"R-CRS",2021-04-21,"2021","April","11:05","0-5","Cocconeis placentula","Bacillariophyta",2,8555.82978723404,18815236.5108936,"Cannot meet tally in 100 fields."
"R-CRS",2021-04-21,"2021","April","11:05","0-5","Cymbella proxima","Bacillariophyta",1,400.003978911768,3444376.99191552,"Cannot meet tally in 100 fields."
"R-CRS",2021-04-21,"2021","April","11:05","0-5","Diatoma vulgaris","Bacillariophyta",1,4277.91489361702,36770347.9241464,"Cannot meet tally in 100 fields."
