"Sample_Date","Sample_Year","Sample_Month","Sample_Time","Site","Station_ID","Deg_C","mmHg","DO_percent","DO_mg.L","SPC_uS.cm","pH","pH_mV","DEP_m"
2021-02-02,"2021","February","03:33:28PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,79.2,8.67,1341,7.84,-74.3,10.046
2021-02-02,"2021","February","03:33:28PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,79.2,8.67,1341,7.84,-74.3,10.046
2021-02-02,"2021","February","03:33:58PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,79,8.66,1341,7.85,-74.4,11.06
2021-02-02,"2021","February","03:33:58PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,79,8.66,1341,7.85,-74.4,11.06
2021-02-02,"2021","February","03:34:14PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,79,8.65,1341,7.85,-74.6,11.981
2021-02-02,"2021","February","03:34:14PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,79,8.65,1341,7.85,-74.6,11.981
2021-02-02,"2021","February","03:34:28PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.9,8.64,1341,7.85,-74.7,13.087
2021-02-02,"2021","February","03:34:28PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.9,8.64,1341,7.85,-74.7,13.087
2021-02-02,"2021","February","03:34:41PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.9,8.64,1341,7.86,-75.1,14.076
2021-02-02,"2021","February","03:34:41PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.9,8.64,1341,7.86,-75.1,14.076
2021-02-02,"2021","February","03:35:07PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.8,8.63,1341,7.88,-76.1,15.064
2021-02-02,"2021","February","03:35:07PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.8,8.63,1341,7.88,-76.1,15.064
2021-02-02,"2021","February","03:35:15PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.8,8.63,1341,7.88,-76.5,16.065
2021-02-02,"2021","February","03:35:15PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.8,8.63,1341,7.88,-76.5,16.065
2021-02-02,"2021","February","03:35:27PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.7,8.62,1341,7.89,-76.8,17.083
2021-02-02,"2021","February","03:35:27PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.7,8.62,1341,7.89,-76.8,17.083
2021-02-02,"2021","February","03:35:36PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.7,8.62,1341,7.89,-77.1,18.008
2021-02-02,"2021","February","03:35:36PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.7,8.62,1341,7.89,-77.1,18.008
2021-02-02,"2021","February","03:35:51PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.6,8.61,1342,7.9,-77.5,19.056
2021-02-02,"2021","February","03:35:51PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.6,8.61,1342,7.9,-77.5,19.056
2021-02-02,"2021","February","03:36:03PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.6,8.61,1341,7.9,-77.7,20.114
2021-02-02,"2021","February","03:36:03PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.6,8.61,1341,7.9,-77.7,20.114
2021-02-02,"2021","February","03:36:12PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.5,8.6,1341,7.91,-77.9,21.071
2021-02-02,"2021","February","03:36:12PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.5,8.6,1341,7.91,-77.9,21.071
2021-02-02,"2021","February","03:36:33PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.5,8.6,1342,7.91,-78.1,22.098
2021-02-02,"2021","February","03:36:33PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.5,8.6,1342,7.91,-78.1,22.098
2021-02-02,"2021","February","03:36:48PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.5,8.6,1341,7.92,-78.4,23.123
2021-02-02,"2021","February","03:36:48PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.5,8.6,1341,7.92,-78.4,23.123
2021-02-02,"2021","February","03:36:58PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.4,8.59,1341,7.92,-78.5,24.062
2021-02-02,"2021","February","03:36:58PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.4,8.59,1341,7.92,-78.5,24.062
2021-02-02,"2021","February","03:37:06PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.4,8.59,1341,7.92,-78.6,25.037
2021-02-02,"2021","February","03:37:06PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.4,8.59,1341,7.92,-78.6,25.037
2021-02-02,"2021","February","03:37:22PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.3,8.58,1342,7.92,-78.6,26.051
2021-02-02,"2021","February","03:37:22PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.3,8.58,1342,7.92,-78.6,26.051
2021-02-02,"2021","February","03:37:37PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.3,8.58,1342,7.92,-78.8,27.05
2021-02-02,"2021","February","03:37:37PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,78.3,8.58,1342,7.92,-78.8,27.05
2021-02-02,"2021","February","03:37:49PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.2,8.57,1342,7.93,-78.9,27.999
2021-02-02,"2021","February","03:37:49PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.2,8.57,1342,7.93,-78.9,27.999
2021-02-02,"2021","February","03:37:57PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.2,8.57,1342,7.93,-78.8,29.01
2021-02-02,"2021","February","03:37:57PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.2,8.57,1342,7.93,-78.8,29.01
2021-02-02,"2021","February","03:38:12PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.1,8.56,1342,7.93,-78.9,30.104
2021-02-02,"2021","February","03:38:12PM","APACHE Site 1 Dam 30M","A-D","11.1",710.6,78.1,8.56,1342,7.93,-78.9,30.104
2021-02-02,"2021","February","03:50:45PM","APACHE Site 2 Marina","A-M","12.2",710.5,92.3,9.86,1344,8.31,-100.4,0.312
2021-02-02,"2021","February","03:50:45PM","APACHE Site 2 Marina","A-M","12.2",710.5,92.3,9.86,1344,8.31,-100.4,0.312
2021-02-02,"2021","February","03:51:05PM","APACHE Site 2 Marina","A-M","11.3",710.6,89.9,9.8,1340,8.24,-96.3,1.06
2021-02-02,"2021","February","03:51:05PM","APACHE Site 2 Marina","A-M","11.3",710.6,89.9,9.8,1340,8.24,-96.3,1.06
2021-02-02,"2021","February","03:51:22PM","APACHE Site 2 Marina","A-M","11.2",710.4,89,9.72,1339,8.2,-94.2,2.091
2021-02-02,"2021","February","03:51:22PM","APACHE Site 2 Marina","A-M","11.2",710.4,89,9.72,1339,8.2,-94.2,2.091
2021-02-02,"2021","February","03:51:34PM","APACHE Site 2 Marina","A-M","11.1",710.5,87.8,9.61,1339,8.17,-92.6,3.055
2021-02-02,"2021","February","03:51:34PM","APACHE Site 2 Marina","A-M","11.1",710.5,87.8,9.61,1339,8.17,-92.6,3.055
2021-02-02,"2021","February","03:51:52PM","APACHE Site 2 Marina","A-M","11.1",710.5,86.1,9.44,1339,8.13,-90.2,4.046
2021-02-02,"2021","February","03:51:52PM","APACHE Site 2 Marina","A-M","11.1",710.5,86.1,9.44,1339,8.13,-90.2,4.046
2021-02-02,"2021","February","03:52:01PM","APACHE Site 2 Marina","A-M","11.1",710.5,85.6,9.38,1339,8.11,-89.2,5.022
2021-02-02,"2021","February","03:52:01PM","APACHE Site 2 Marina","A-M","11.1",710.5,85.6,9.38,1339,8.11,-89.2,5.022
2021-02-02,"2021","February","03:52:08PM","APACHE Site 2 Marina","A-M","11.1",710.5,85,9.32,1339,8.1,-88.5,6.079
2021-02-02,"2021","February","03:52:08PM","APACHE Site 2 Marina","A-M","11.1",710.5,85,9.32,1339,8.1,-88.5,6.079
2021-02-02,"2021","February","03:52:18PM","APACHE Site 2 Marina","A-M","11",710.5,84.4,9.26,1339,8.07,-87.2,7.067
2021-02-02,"2021","February","03:52:18PM","APACHE Site 2 Marina","A-M","11",710.5,84.4,9.26,1339,8.07,-87.2,7.067
2021-02-02,"2021","February","03:52:30PM","APACHE Site 2 Marina","A-M","11",710.5,84.3,9.25,1340,8.05,-86,8.088
2021-02-02,"2021","February","03:52:30PM","APACHE Site 2 Marina","A-M","11",710.5,84.3,9.25,1340,8.05,-86,8.088
2021-02-02,"2021","February","03:52:53PM","APACHE Site 2 Marina","A-M","11",710.6,84.4,9.27,1339,8.02,-84.1,9.038
2021-02-02,"2021","February","03:52:53PM","APACHE Site 2 Marina","A-M","11",710.6,84.4,9.27,1339,8.02,-84.1,9.038
2021-02-02,"2021","February","03:53:06PM","APACHE Site 2 Marina","A-M","11",710.5,84.3,9.26,1340,8,-82.8,10.016
2021-02-02,"2021","February","03:53:06PM","APACHE Site 2 Marina","A-M","11",710.5,84.3,9.26,1340,8,-82.8,10.016
2021-02-02,"2021","February","03:53:22PM","APACHE Site 2 Marina","A-M","11",710.6,84.1,9.23,1340,7.97,-81.3,11.108
2021-02-02,"2021","February","03:53:22PM","APACHE Site 2 Marina","A-M","11",710.6,84.1,9.23,1340,7.97,-81.3,11.108
2021-02-02,"2021","February","03:53:36PM","APACHE Site 2 Marina","A-M","11",710.5,84.1,9.23,1340,7.95,-80.3,12.009
2021-02-02,"2021","February","03:53:36PM","APACHE Site 2 Marina","A-M","11",710.5,84.1,9.23,1340,7.95,-80.3,12.009
2021-02-02,"2021","February","03:53:49PM","APACHE Site 2 Marina","A-M","11",710.5,84,9.22,1340,7.94,-79.7,13.035
2021-02-02,"2021","February","03:53:49PM","APACHE Site 2 Marina","A-M","11",710.5,84,9.22,1340,7.94,-79.7,13.035
2021-02-02,"2021","February","03:54:08PM","APACHE Site 2 Marina","A-M","11",710.5,84,9.22,1340,7.93,-79.2,14.069
2021-02-02,"2021","February","03:54:08PM","APACHE Site 2 Marina","A-M","11",710.5,84,9.22,1340,7.93,-79.2,14.069
2021-02-02,"2021","February","03:54:26PM","APACHE Site 2 Marina","A-M","11",710.4,83.9,9.21,1340,7.93,-79,14.994
2021-02-02,"2021","February","03:54:26PM","APACHE Site 2 Marina","A-M","11",710.4,83.9,9.21,1340,7.93,-79,14.994
2021-02-02,"2021","February","04:17:49PM","APACHE Site 3 3 Mile","A-TMI","16.4",710.8,93.3,9.13,10.1,8.32,-102.5,0
2021-02-02,"2021","February","04:17:49PM","APACHE Site 3 3 Mile","A-TMI","16.4",710.8,93.3,9.13,10.1,8.32,-102.5,0
2021-02-02,"2021","February","04:17:59PM","APACHE Site 3 3 Mile","A-TMI","11.8",710.8,95.7,10.31,1314,8.6,-116.9,1.099
2021-02-02,"2021","February","04:17:59PM","APACHE Site 3 3 Mile","A-TMI","11.8",710.8,95.7,10.31,1314,8.6,-116.9,1.099
2021-02-02,"2021","February","04:18:10PM","APACHE Site 3 3 Mile","A-TMI","11.6",710.8,98.6,10.67,1313,8.61,-117.4,2.051
2021-02-02,"2021","February","04:18:10PM","APACHE Site 3 3 Mile","A-TMI","11.6",710.8,98.6,10.67,1313,8.61,-117.4,2.051
2021-02-02,"2021","February","04:18:26PM","APACHE Site 3 3 Mile","A-TMI","11.1",710.7,98.6,10.81,1316,8.6,-116.5,3.036
2021-02-02,"2021","February","04:18:26PM","APACHE Site 3 3 Mile","A-TMI","11.1",710.7,98.6,10.81,1316,8.6,-116.5,3.036
2021-02-02,"2021","February","04:18:39PM","APACHE Site 3 3 Mile","A-TMI","10.9",710.9,97.6,10.73,1315,8.57,-114.8,4.092
2021-02-02,"2021","February","04:18:39PM","APACHE Site 3 3 Mile","A-TMI","10.9",710.9,97.6,10.73,1315,8.57,-114.8,4.092
2021-02-02,"2021","February","04:18:58PM","APACHE Site 3 3 Mile","A-TMI","10.9",710.7,95.5,10.52,1316,8.53,-112.4,5.074
2021-02-02,"2021","February","04:18:58PM","APACHE Site 3 3 Mile","A-TMI","10.9",710.7,95.5,10.52,1316,8.53,-112.4,5.074
2021-02-02,"2021","February","04:19:14PM","APACHE Site 3 3 Mile","A-TMI","10.8",710.7,93.7,10.33,1318,8.49,-110.4,6.012
2021-02-02,"2021","February","04:19:14PM","APACHE Site 3 3 Mile","A-TMI","10.8",710.7,93.7,10.33,1318,8.49,-110.4,6.012
2021-02-02,"2021","February","04:19:24PM","APACHE Site 3 3 Mile","A-TMI","10.8",710.8,92.6,10.21,1319,8.47,-109,7.043
2021-02-02,"2021","February","04:19:24PM","APACHE Site 3 3 Mile","A-TMI","10.8",710.8,92.6,10.21,1319,8.47,-109,7.043
2021-02-02,"2021","February","04:19:35PM","APACHE Site 3 3 Mile","A-TMI","10.8",710.7,91.4,10.08,1320,8.44,-107.6,8.077
2021-02-02,"2021","February","04:19:35PM","APACHE Site 3 3 Mile","A-TMI","10.8",710.7,91.4,10.08,1320,8.44,-107.6,8.077
2021-02-02,"2021","February","04:06:15PM","APACHE Site 4 Burnt Corral","A-BHC","17.9",710.6,93,8.82,7.4,8.21,-96.6,0
2021-02-02,"2021","February","04:06:52PM","APACHE Site 4 Burnt Corral","A-BHC","11.2",710.6,98.1,10.73,1340,8.48,-109.6,1.065
2021-02-02,"2021","February","04:07:10PM","APACHE Site 4 Burnt Corral","A-BHC","11",710.6,97.1,10.66,1338,8.45,-108,2.049
2021-02-02,"2021","February","04:07:18PM","APACHE Site 4 Burnt Corral","A-BHC","11",710.7,96.6,10.61,1338,8.43,-107,3.108
2021-02-02,"2021","February","04:07:31PM","APACHE Site 4 Burnt Corral","A-BHC","10.9",710.6,95.4,10.5,1338,8.4,-105.4,4.076
2021-02-02,"2021","February","04:07:44PM","APACHE Site 4 Burnt Corral","A-BHC","10.9",710.6,94.4,10.41,1338,8.38,-103.9,5.064
2021-02-02,"2021","February","04:07:55PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,94.2,10.38,1339,8.36,-103.3,6.026
2021-02-02,"2021","February","04:08:02PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.6,94,10.35,1338,8.36,-102.9,7.022
2021-02-02,"2021","February","04:08:09PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,93.7,10.33,1338,8.35,-102.3,8.032
2021-02-02,"2021","February","04:08:22PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,93.2,10.27,1338,8.32,-101,9.038
2021-02-02,"2021","February","04:08:35PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,92.9,10.24,1338,8.3,-99.9,10.041
2021-02-02,"2021","February","04:08:45PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,93,10.25,1338,8.29,-99.4,11.086
2021-02-02,"2021","February","04:08:57PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.6,93.2,10.28,1338,8.28,-98.9,12.045
2021-02-02,"2021","February","04:09:05PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,93.1,10.27,1338,8.28,-98.3,13.082
2021-02-02,"2021","February","04:09:17PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,93,10.25,1338,8.25,-97.1,13.979
2021-02-02,"2021","February","04:09:24PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.6,92.9,10.24,1338,8.24,-96.4,15.042
2021-02-02,"2021","February","04:09:54PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.6,92.7,10.22,1338,8.2,-94.4,16.022
2021-02-02,"2021","February","04:10:02PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.6,92.6,10.22,1338,8.2,-94,17.05
2021-02-02,"2021","February","04:10:10PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,92.6,10.21,1338,8.19,-93.7,18.078
2021-02-02,"2021","February","04:10:16PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,92.5,10.21,1338,8.19,-93.5,19.052
2021-02-02,"2021","February","04:10:24PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,92.3,10.18,1338,8.19,-93.3,20.07
2021-02-02,"2021","February","04:10:34PM","APACHE Site 4 Burnt Corral","A-BHC","10.8",710.7,91.7,10.12,1338,8.18,-93,20.874
2021-02-02,"2021","February","04:06:15PM","APACHE Site 4 Burnt Horse","A-BHC","17.9",710.6,93,8.82,7.4,8.21,-96.6,0
2021-02-02,"2021","February","04:06:52PM","APACHE Site 4 Burnt Horse","A-BHC","11.2",710.6,98.1,10.73,1340,8.48,-109.6,1.065
2021-02-02,"2021","February","04:07:10PM","APACHE Site 4 Burnt Horse","A-BHC","11",710.6,97.1,10.66,1338,8.45,-108,2.049
2021-02-02,"2021","February","04:07:18PM","APACHE Site 4 Burnt Horse","A-BHC","11",710.7,96.6,10.61,1338,8.43,-107,3.108
2021-02-02,"2021","February","04:07:31PM","APACHE Site 4 Burnt Horse","A-BHC","10.9",710.6,95.4,10.5,1338,8.4,-105.4,4.076
2021-02-02,"2021","February","04:07:44PM","APACHE Site 4 Burnt Horse","A-BHC","10.9",710.6,94.4,10.41,1338,8.38,-103.9,5.064
2021-02-02,"2021","February","04:07:55PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,94.2,10.38,1339,8.36,-103.3,6.026
2021-02-02,"2021","February","04:08:02PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.6,94,10.35,1338,8.36,-102.9,7.022
2021-02-02,"2021","February","04:08:09PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,93.7,10.33,1338,8.35,-102.3,8.032
2021-02-02,"2021","February","04:08:22PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,93.2,10.27,1338,8.32,-101,9.038
2021-02-02,"2021","February","04:08:35PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,92.9,10.24,1338,8.3,-99.9,10.041
2021-02-02,"2021","February","04:08:45PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,93,10.25,1338,8.29,-99.4,11.086
2021-02-02,"2021","February","04:08:57PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.6,93.2,10.28,1338,8.28,-98.9,12.045
2021-02-02,"2021","February","04:09:05PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,93.1,10.27,1338,8.28,-98.3,13.082
2021-02-02,"2021","February","04:09:17PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,93,10.25,1338,8.25,-97.1,13.979
2021-02-02,"2021","February","04:09:24PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.6,92.9,10.24,1338,8.24,-96.4,15.042
2021-02-02,"2021","February","04:09:54PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.6,92.7,10.22,1338,8.2,-94.4,16.022
2021-02-02,"2021","February","04:10:02PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.6,92.6,10.22,1338,8.2,-94,17.05
2021-02-02,"2021","February","04:10:10PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,92.6,10.21,1338,8.19,-93.7,18.078
2021-02-02,"2021","February","04:10:16PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,92.5,10.21,1338,8.19,-93.5,19.052
2021-02-02,"2021","February","04:10:24PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,92.3,10.18,1338,8.19,-93.3,20.07
2021-02-02,"2021","February","04:10:34PM","APACHE Site 4 Burnt Horse","A-BHC","10.8",710.7,91.7,10.12,1338,8.18,-93,20.874
2021-03-03,"2021","March","02:54:50PM","APACHE Site 1 Dam 30M","A-D","13.1",705.3,90.8,9.46,1465,8.43,-127.9,0
2021-03-03,"2021","March","02:55:38PM","APACHE Site 1 Dam 30M","A-D","12.5",705.3,106.1,11.26,1456,8.5,-131.6,1.082
2021-03-03,"2021","March","02:55:49PM","APACHE Site 1 Dam 30M","A-D","12.1",705.3,106.2,11.36,1456,8.46,-129.2,2.041
2021-03-03,"2021","March","02:56:09PM","APACHE Site 1 Dam 30M","A-D","12",705.3,105.6,11.31,1455,8.37,-124.2,3.053
2021-03-03,"2021","March","02:56:28PM","APACHE Site 1 Dam 30M","A-D","12",705.3,104.5,11.21,1454,8.29,-119.9,4.093
2021-03-03,"2021","March","02:56:38PM","APACHE Site 1 Dam 30M","A-D","12",705.3,104.1,11.17,1454,8.26,-117.7,5.083
2021-03-03,"2021","March","02:56:52PM","APACHE Site 1 Dam 30M","A-D","12",705.3,103.5,11.11,1454,8.2,-114.4,6.042
2021-03-03,"2021","March","02:57:02PM","APACHE Site 1 Dam 30M","A-D","12",705.2,103.3,11.1,1454,8.16,-112.5,7.062
2021-03-03,"2021","March","02:57:15PM","APACHE Site 1 Dam 30M","A-D","11.9",705.1,103.4,11.11,1454,8.13,-110.7,8.086
2021-03-03,"2021","March","02:57:25PM","APACHE Site 1 Dam 30M","A-D","11.9",705.1,103.4,11.11,1454,8.11,-109.8,9.099
2021-03-03,"2021","March","02:57:42PM","APACHE Site 1 Dam 30M","A-D","11.9",705.1,102.5,11.03,1454,8.08,-108.1,10.058
2021-03-03,"2021","March","02:57:57PM","APACHE Site 1 Dam 30M","A-D","11.9",705,102.2,10.99,1454,8.07,-107.2,11.055
2021-03-03,"2021","March","02:58:07PM","APACHE Site 1 Dam 30M","A-D","11.9",705,102,10.97,1454,8.06,-106.8,12.07
2021-03-03,"2021","March","02:58:15PM","APACHE Site 1 Dam 30M","A-D","11.9",705,101.8,10.95,1454,8.06,-106.6,13.026
2021-03-03,"2021","March","02:58:30PM","APACHE Site 1 Dam 30M","A-D","11.8",705.1,101.4,10.92,1455,8.05,-106.2,14.082
2021-03-03,"2021","March","02:58:47PM","APACHE Site 1 Dam 30M","A-D","11.8",705,100.9,10.86,1455,8.04,-105.5,15.103
2021-03-03,"2021","March","02:59:04PM","APACHE Site 1 Dam 30M","A-D","11.8",705.1,100,10.77,1455,8.02,-104.5,16.062
2021-03-03,"2021","March","02:59:15PM","APACHE Site 1 Dam 30M","A-D","11.8",705.1,99.9,10.76,1455,8.02,-104.3,17.106
2021-03-03,"2021","March","02:59:31PM","APACHE Site 1 Dam 30M","A-D","11.8",705,99.6,10.74,1455,8.01,-104.1,18.072
2021-03-03,"2021","March","02:59:42PM","APACHE Site 1 Dam 30M","A-D","11.8",705.1,99.4,10.71,1455,8.01,-103.8,18.961
2021-03-03,"2021","March","02:59:51PM","APACHE Site 1 Dam 30M","A-D","11.8",705,99,10.67,1455,8,-103.5,20.007
2021-03-03,"2021","March","03:00:01PM","APACHE Site 1 Dam 30M","A-D","11.8",705,98.8,10.64,1455,8,-103.2,21.034
2021-03-03,"2021","March","03:00:25PM","APACHE Site 1 Dam 30M","A-D","11.8",704.8,98.4,10.61,1455,7.99,-103,22.039
2021-03-03,"2021","March","03:00:45PM","APACHE Site 1 Dam 30M","A-D","11.8",704.9,98.3,10.6,1455,8,-103.1,23.045
2021-03-03,"2021","March","03:01:00PM","APACHE Site 1 Dam 30M","A-D","11.8",704.8,98.4,10.6,1455,8,-103.3,24.025
2021-03-03,"2021","March","03:01:34PM","APACHE Site 1 Dam 30M","A-D","11.8",704.8,98.2,10.58,1455,8.01,-103.6,25.013
2021-03-03,"2021","March","03:01:54PM","APACHE Site 1 Dam 30M","A-D","11.8",704.7,97.6,10.53,1455,8,-103.6,26.06
2021-03-03,"2021","March","03:02:16PM","APACHE Site 1 Dam 30M","A-D","11.7",704.7,96.6,10.42,1455,7.99,-103,27.076
2021-03-03,"2021","March","03:02:26PM","APACHE Site 1 Dam 30M","A-D","11.7",704.9,96,10.36,1455,7.98,-102.5,28.025
2021-03-03,"2021","March","03:02:48PM","APACHE Site 1 Dam 30M","A-D","11.7",704.8,94.9,10.25,1455,7.97,-101.7,29.08
2021-03-03,"2021","March","03:17:35PM","APACHE Site 2 Marina","A-M","13.1",704.8,109.4,11.45,1457,8.53,-133.3,0.012
2021-03-03,"2021","March","03:17:58PM","APACHE Site 2 Marina","A-M","12.5",704.8,112.9,11.96,1453,8.48,-130.7,1.031
2021-03-03,"2021","March","03:18:08PM","APACHE Site 2 Marina","A-M","12.3",704.8,112.4,11.98,1453,8.47,-129.8,2.075
2021-03-03,"2021","March","03:18:19PM","APACHE Site 2 Marina","A-M","11.9",704.8,111.1,11.94,1454,8.45,-128.5,2.284
2021-03-03,"2021","March","03:43:53PM","APACHE Site 3 3 Mile","A-TMI","11.9",704.7,92.7,9.96,1441,7.95,-100.3,0
2021-03-03,"2021","March","03:44:03PM","APACHE Site 3 3 Mile","A-TMI","11.8",704.6,95,10.23,1440,7.93,-99.5,1.082
2021-03-03,"2021","March","03:44:17PM","APACHE Site 3 3 Mile","A-TMI","11.7",704.6,97.1,10.48,1440,7.91,-98.4,2.077
